axis,alpha,mean,reliable
A1,0.922,7.34,True
A2,0.925,5.95,True
A3,0.901,6.79,True
A4,0.964,4.86,True
A5,0.852,6.53,True
A6,0.958,6.8,True
A7,0.856,7.07,True
B1,0.964,4.54,True
B2,0.933,4.96,True
B3,0.971,4.32,True
B4,0.909,4.95,True
B5,0.832,6.83,True
B6,0.95,3.32,True
C1,0.886,7.31,True
C2,0.8,5.19,True
C3,0.95,5.07,True
C4,0.951,3.42,True
C6,0.879,3.58,True
C7,0.959,7.49,True
C8,-0.332,5.46,False
D1,0.925,6.48,True
D2,0.98,5.22,True
D3,0.883,6.52,True
D4,0.917,4.46,True
A25,0.903,6.02,True
A26,0.949,6.16,True
A27,0.947,5.23,True
A28,0.959,5.62,True
A29,0.874,4.22,True
A30,0.732,6.12,False
A31,0.86,6.02,True
A32,0.972,4.48,True
